id,class,consumer,site,detail,count,disposition
D0076,reflection-callsite,Advanced Combat Tracker,Advanced_Combat_Tracker.PluginListingPanel::cbEnabled_CheckedChanged,System.Reflection.Assembly.CreateInstance,1,UNREVIEWED
D0077,reflection-callsite,Advanced Combat Tracker,Advanced_Combat_Tracker.SettingsSerializer::GetFieldFromParent,System.Type.GetField,1,UNREVIEWED
D0078,reflection-callsite,Advanced Combat Tracker,Advanced_Combat_Tracker.SettingsSerializer::GetFieldFromParent,System.Type.GetProperty,1,UNREVIEWED
D0079,reflection-callsite,Advanced Combat Tracker,Advanced_Combat_Tracker.SettingsSerializer::SetFieldOfParent,System.Type.GetField,1,UNREVIEWED
D0080,reflection-callsite,Advanced Combat Tracker,Advanced_Combat_Tracker.SettingsSerializer::SetFieldOfParent,System.Type.GetProperty,1,UNREVIEWED
D0081,reflection-callsite,Advanced Combat Tracker,PluginCheckContextCallback::GetIsPlugin,System.AppDomain.Load,1,UNREVIEWED
D0082,reflection-callsite,Advanced Combat Tracker,PluginCheckContextCallback::GetIsPlugin,System.Reflection.Assembly.GetTypes,1,UNREVIEWED
D0083,reflection-callsite,Advanced Combat Tracker,Transitions.Transition::add,System.Type.GetProperty,1,UNREVIEWED
D0084,reflection-callsite,Advanced Combat Tracker,Transitions.Utility::getValue,System.Type.GetProperty,1,UNREVIEWED
D0085,reflection-callsite,Advanced Combat Tracker,Transitions.Utility::setValue,System.Type.GetProperty,1,UNREVIEWED
D0086,reflection-callsite,Advanced Combat Tracker,WMPWrapper::.ctor,System.Activator.CreateInstance,1,UNREVIEWED
D0087,reflection-callsite,CactbotOverlay,Cactbot.AssemblyResolver::CustomAssemblyResolve,System.Reflection.Assembly.LoadFile,1,UNREVIEWED
D0088,reflection-callsite,CactbotOverlay,Cactbot.AssemblyResolver::CustomAssemblyResolve,System.Reflection.Assembly.Load,1,UNREVIEWED
D0089,reflection-callsite,FFXIV.Framework,<>c::<EnumlatePredefinedColors>b__4_0,System.Type.GetProperties,1,UNREVIEWED
D0090,reflection-callsite,FFXIV.Framework,<>c::<EnumlatePredefinedColors>b__4_1,System.Type.GetProperties,1,UNREVIEWED
D0091,reflection-callsite,FFXIV.Framework,<>c::<StartUpdateScript>b__15_1,System.Type.GetType,1,UNREVIEWED
D0092,reflection-callsite,FFXIV.Framework,<>c::<StartUpdateScript>b__15_1,System.Type.GetProperty,2,UNREVIEWED
D0093,reflection-callsite,FFXIV.Framework,FFXIV.Framework.Common.CommonHelper::Clone,System.Type.InvokeMember,2,UNREVIEWED
D0094,reflection-callsite,FFXIV.Framework,FFXIV.Framework.Common.EnvironmentHelper::TryActivation,System.Type.GetMethod,1,UNREVIEWED
D0095,reflection-callsite,FFXIV.Framework,FFXIV.Framework.Common.UpdateChecker::GetHojoring,System.Type.GetType,1,UNREVIEWED
D0096,reflection-callsite,FFXIV.Framework,FFXIV.Framework.Common.UpdateChecker::GetHojoring,System.Reflection.Assembly.LoadFrom,1,UNREVIEWED
D0097,reflection-callsite,FFXIV.Framework,FFXIV.Framework.Common.UpdateChecker::GetHojoring,System.Reflection.Assembly.GetType,1,UNREVIEWED
D0098,reflection-callsite,FFXIV.Framework,FFXIV.Framework.Common.UpdateChecker::GetHojoring,System.Activator.CreateInstance,1,UNREVIEWED
D0099,reflection-callsite,FFXIV.Framework,FFXIV.Framework.Common.WavePlayerExtensions::SetBackground,System.Type.GetField,1,UNREVIEWED
D0100,reflection-callsite,FFXIV.Framework,FFXIV.Framework.Extensions.EnumExtensions::DisplayName,System.Type.GetField,1,UNREVIEWED
D0101,reflection-callsite,FFXIV.Framework,FFXIV.Framework.Extensions.ObjectExtensions::CopyToCompile,System.Type.InvokeMember,1,UNREVIEWED
D0102,reflection-callsite,FFXIV.Framework,FFXIV.Framework.Extensions.ObjectExtensions::CopyToDefault,System.Type.GetProperties,2,UNREVIEWED
D0103,reflection-callsite,FFXIV.Framework,FFXIV.Framework.Extensions.ObjectExtensions::GenerateCopyClass,System.Reflection.Assembly.GetType,1,UNREVIEWED
D0104,reflection-callsite,FFXIV.Framework,FFXIV.Framework.Extensions.ObjectExtensions::GetMatchingProperties,System.Type.GetProperties,2,UNREVIEWED
D0105,reflection-callsite,FFXIV.Framework,FFXIV.Framework.Updater.FFXIVFrameworkUpdater::TryRestartACT,System.Type.GetMethod,1,UNREVIEWED
D0106,reflection-callsite,FFXIV.Framework,FFXIV.Framework.Updater.FFXIVFrameworkUpdater::TryRestartACT,System.Reflection.MethodBase.Invoke,1,UNREVIEWED
D0107,reflection-callsite,FFXIV.Framework,FFXIV.Framework.WPF.Controls.DenomiNumericTextBlock::_CreateDelegate,System.Delegate.CreateDelegate,1,UNREVIEWED
D0108,reflection-callsite,FFXIV.Framework,FFXIV.Framework.WPF.Controls.ProgressCircle::_CreateDelegate,System.Delegate.CreateDelegate,1,UNREVIEWED
D0109,reflection-callsite,FFXIV.Framework,FFXIV.Framework.WPF.Views.HelpView::_CreateDelegate,System.Delegate.CreateDelegate,1,UNREVIEWED
D0110,reflection-callsite,FFXIV.Framework,FFXIV.Framework.WPF.Views.SandboxView::_CreateDelegate,System.Delegate.CreateDelegate,1,UNREVIEWED
D0111,reflection-callsite,FFXIV.Framework,FFXIV.Framework.XIVHelper.OverlayPluginHelper::Attach,System.Reflection.Assembly.Load,2,UNREVIEWED
D0112,reflection-callsite,FFXIV.Framework,FFXIV.Framework.XIVHelper.OverlayPluginHelper::Attach,System.Reflection.Assembly.GetType,4,UNREVIEWED
D0113,reflection-callsite,FFXIV.Framework,FFXIV.Framework.XIVHelper.OverlayPluginHelper::Attach,System.Type.GetProperties,1,UNREVIEWED
D0114,reflection-callsite,FFXIV.Framework,FFXIV.Framework.XIVHelper.OverlayPluginHelper::Attach,System.Type.GetMethod,5,UNREVIEWED
D0115,reflection-callsite,FFXIV.Framework,FFXIV.Framework.XIVHelper.OverlayPluginHelper::Attach,System.Reflection.MethodBase.Invoke,3,UNREVIEWED
D0116,reflection-callsite,FFXIV.Framework,FFXIV.Framework.XIVHelper.OverlayPluginHelper::GetCombatantID,System.Reflection.Assembly.Load,1,UNREVIEWED
D0117,reflection-callsite,FFXIV.Framework,FFXIV.Framework.XIVHelper.OverlayPluginHelper::GetCombatantID,System.Reflection.Assembly.GetType,1,UNREVIEWED
D0118,reflection-callsite,FFXIV.Framework,FFXIV.Framework.XIVHelper.OverlayPluginHelper::GetCombatantID,System.Type.GetMethod,2,UNREVIEWED
D0119,reflection-callsite,FFXIV.Framework,FFXIV.Framework.XIVHelper.OverlayPluginHelper::GetCombatantID,System.Reflection.MethodBase.Invoke,2,UNREVIEWED
D0120,reflection-callsite,FFXIV.Framework,FFXIV.Framework.XIVHelper.OverlayPluginHelper::GetCombatantID,System.Type.GetFields,1,UNREVIEWED
D0121,reflection-callsite,FFXIV.Framework,FFXIV.Framework.XIVHelper.OverlayPluginHelper::GetCombatantID,System.Type.GetProperty,1,UNREVIEWED
D0122,reflection-callsite,FFXIV.Framework,FFXIV.Framework.XIVHelper.OverlayPluginHelper::GetCombatantID,System.Type.GetField,1,UNREVIEWED
D0123,reflection-callsite,FFXIV.Framework,FFXIV.Framework.XIVHelper.OverlayPluginHelper::GetCombatantListInternal,System.Type.GetMethod,1,UNREVIEWED
D0124,reflection-callsite,FFXIV.Framework,FFXIV.Framework.XIVHelper.OverlayPluginHelper::GetCombatantListInternal,System.Reflection.MethodBase.Invoke,1,UNREVIEWED
D0125,reflection-callsite,FFXIV.Framework,FFXIV.Framework.XIVHelper.OverlayPluginHelper::GetEnmityEntryList,System.Reflection.Assembly.Load,1,UNREVIEWED
D0126,reflection-callsite,FFXIV.Framework,FFXIV.Framework.XIVHelper.OverlayPluginHelper::GetEnmityEntryList,System.Reflection.Assembly.GetType,1,UNREVIEWED
